mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07333602905273437,0.010107266402772904,0.007902002334594727,0.007234573985918674,5,4,100,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 100}",0.4444444444444444,0.25,0.8571428571428571,0.75,0.6666666666666666,0.5936507936507935,0.21888940686196295,1
0.19442028999328614,0.012749494314293985,0.021098947525024413,0.006688954723433094,5,4,300,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 300}",0.4444444444444444,0.0,0.8571428571428571,0.75,0.6666666666666666,0.5436507936507936,0.303772368396899,8
0.3275421619415283,0.0035116338028986253,0.021829795837402344,0.007660031907540645,5,4,500,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 500}",0.4444444444444444,0.0,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.5269841269841269,0.2941265986514405,14
0.06699190139770508,0.00999111230229981,0.004637289047241211,0.006354118542820479,10,1,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",0.0,0.0,0.8571428571428571,0.5714285714285714,0.75,0.43571428571428567,0.3672845752052126,23
0.21155624389648436,0.0046168370916749414,0.010784626007080078,0.004213696705227453,10,1,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 300}",0.0,0.0,0.8571428571428571,0.5714285714285714,0.75,0.43571428571428567,0.3672845752052126,23
0.34825878143310546,0.010596390597940705,0.024904823303222655,0.009152313271186568,10,1,500,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 500}",0.0,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.75,0.4928571428571429,0.3133101742780187,20
0.07294001579284667,0.00218973516571351,0.005876588821411133,0.0029737200785304144,10,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 100}",0.2857142857142857,0.25,0.8571428571428571,0.5714285714285714,0.75,0.5428571428571429,0.24264696787804327,11
0.5836634159088134,0.06472415246505685,0.054089832305908206,0.0035818573210295948,10,2,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 300}",0.25,0.0,0.8571428571428571,0.75,0.75,0.5214285714285715,0.3354862447376394,17
0.624401044845581,0.29284256200921044,0.04503927230834961,0.019673037785209894,10,2,500,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 500}",0.25,0.2857142857142857,0.8571428571428571,0.75,0.75,0.5785714285714285,0.2569443678372135,4
0.07852058410644532,0.003064100772273731,0.008362150192260743,0.00037359357859863734,10,4,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 100}",0.4444444444444444,0.25,0.8571428571428571,0.75,0.6666666666666666,0.5936507936507935,0.21888940686196295,1
0.23044962882995607,0.008582274909386955,0.018956851959228516,0.000870921817116116,10,4,300,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 300}",0.4444444444444444,0.0,0.8571428571428571,0.75,0.6666666666666666,0.5436507936507936,0.303772368396899,8
0.3571177005767822,0.0105050785475816,0.028343868255615235,0.001113987489469472,10,4,500,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 500}",0.4444444444444444,0.0,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.5269841269841269,0.2941265986514405,14
